kod;kod4;nazwa_en;zadania_en;zadania_en_2;nazwa_pl
26.52;'2652';Manufacture of watches and clocks;"manufacture of watches, clocks and timing mechanisms, and parts thereof. manufacture of watches and clocks of all kinds, including instrument panel clocks; manufacture of watch and clock cases, including cases of precious metals; manufacture of time-recording equipment and equipment for measuring, recording and otherwise displaying intervals of time with a watch or clock movement or with synchronous motor, e.g.: parking meters, time clocks, time/date stamps, process timers; manufacture of time switches and other releases with a watch or clock movement or with synchronous motor: time locks; manufacture of components for clocks and watches, e.g.:  movements of all kinds for watches and clocks, springs, jewels, dials, hands, plates, bridges and other parts, watch and clock cases and housings of all materials";;Produkcja zegarków i zegarów
26.cze;'2660';Manufacture of irradiation, electromedical and electrotherapeutic equipment;"manufacture of irradiation apparatus and tubes (e.g. industrial, medical diagnostic, medical therapeutic, research, scientific):
alpha, beta, gamma, X-ray or other radiation equipment; manufacture of computed tomography (CT) scanners; manufacture of positron emission tomography (PET) scanners; manufacture of magnetic resonance imaging (MRI) equipment; manufacture of medical ultrasound equipment; manufacture of electrocardiographs; manufacture of electromedical endoscopic equipment; manufacture of medical laser equipment; manufacture of artificial respiration or therapeutic respiration apparatus; manufacture of pacemakers; manufacture of hearing aids"; manufacture of food and milk irradiation equipment;Produkcja urządzeń napromieniowujących, sprzętu elektromedycznego i elektroterapeutycznego
26.lip;'2670';Manufacture of optical instruments, magnetic and optical media and photographic equipment;"manufacture of optical instruments and lenses (for example, binoculars, microscopes (except electron, proton), telescopes, prisms, lenses (except ophthalmic)); the coating or polishing of lenses (except ophthalmic); the mounting of enses (except ophthalmic); the manufacture of photographic equipment (for example, cameras and the manufacture of light meters). This class includes:  manufacture of optical mirrors; manufacture of optical gun-sighting equipment; manufacture of optical positioning equipment; manufacture of optical magnifying instruments; manufacture of optical machinist’s precision tools; manufacture of optical comparators; manufacture of film cameras and digital cameras; manufacture of motion picture and slide projectors; manufacture of overhead transparency projectors; manufacture of optical measuring and checking devices and instruments (e.g. fire control equipment, photographic light meters, rangefinders); manufacture of lenses, optical microscopes, binoculars and telescopes; manufacture of objective lenses for cameras, projectors or photographic enlargers or reducers; manufacture of laser assemblies; manufacture of unrecorded magnetic audio and videotapes; manufacture of unrecorded optical disks";;Produkcja instrumentów optycznych, niezapisanych magnetycznych i optycznych nośników informacji oraz sprzętu fotograficznego
27.lis;'2711';Manufacture of electric motors, generators and transformers;"manufacture of all electric motors and transformers: AC, DC and AC/DC. manufacture of electric motors, except for motor vehicles; manufacture of distribution transformers, electric; manufacture of arc welding transformers; manufacture of ballasts for discharge lamps or tubes (i.e. transformers); manufacture of substation transformers for electric power distribution; manufacture of transmission and distribution-voltage regulators; manufacture of inverters, rectifiers and converters; manufacture of electric linear actuators; manufacture of prime mover generator sets (except turbine generator sets); manufacture of power generators (except battery charging alternators for internal combustion engines); manufacture of motor generator sets (except turbine generator sets); rewinding of armatures on a factory basis; manufacture of solar generators, which can be used directly to supply power to, e.g. a motor or an electrolyser";;Produkcja elektrycznych silników, prądnic i transformatorów
27.gru;'2712';Manufacture of electricity distribution and control apparatus;" manufacture of power circuit breakers; manufacture of surge suppressors (for distribution-level voltage); manufacture of control panels for electric power distribution; manufacture of electrical relays; manufacture of duct  for electrical switchboard apparatus; manufacture of electric fuses; manufacture of power switching equipment; manufacture of electric power switches (except push-button, snap, solenoid, tumbler) ";;Produkcja aparatury rozdzielczej i sterowniczej energii elektrycznej
27.lut;'2720';Manufacture of batteries and accumulators;"manufacture of non-rechargeable and rechargeable batteries. manufacture of primary cells and primary batteries; cells containing manganese dioxide, mercuric dioxide, silver oxide, etc.;  manufacture of electric accumulators, including parts thereof: separators, containers, covers; manufacture of lead acid batteries; manufacture of nickel–cadmium (NiCad) batteries; manufacture of nickel–metal hydride (NiMH) batteries; manufacture of lithium batteries; manufacture of dry cell batteries; manufacture of wet cell batteries; manufacture of batteries for vehicles, bicycles and other cycles; manufacture of battery energy storage systems ";;Produkcja baterii i akumulatorów
27.31;'2731';Manufacture of fibre optic cables;manufacture of fibre-optic cables for data transmission or live transmission of images, whether or not fitted with connectors;;Produkcja kabli światłowodowych
27.32;'2732';Manufacture of other electronic and electric wires and cables;manufacture of insulated wire and cable, made of steel, copper, aluminium;;Produkcja pozostałych elektronicznych i elektrycznych przewodów i kabli
27.33;'2733';Manufacture of wiring devices;"manufacture of current-carrying and non-current-carrying wiring devices for electrical circuits regardless of material. manufacture of bus bars, electrical conductors (except switchgear-type); manufacture of ground fault circuit interrupters (GFCIs); manufacture of lamp-holders; manufacture of lightning arrestors and coils; manufacture of switches for electrical wiring (e.g. pressure, push-button, snap, tumbler switches); manufacture of electrical plugs, connectors or sockets; manufacture of boxes for electrical wiring (e.g. junction, outlet, switch boxes); manufacture of electrical conduit and fitting; manufacture of transmission pole and line hardware; manufacture of plastic non-current-carrying wiring devices, including plastic junction boxes, faceplates and similar, plastic pole line fittings and switch covers";;Produkcja sprzętu instalacyjnego
27.kwi;'2740';Manufacture of lighting equipment;"manufacture of electric light bulbs and tubes, and parts and components thereof (except glass blanks for electric light bulbs), electric lighting and other fixtures, and lighting fixture components (except current-carrying wiring devices). This class includes:  manufacture of lamps, fixtures and bulbs (e.g. discharge, incandescent, fluorescent, ultraviolet, infra-red, light-emitting diode (LED)); manufacture of ceiling or wall lighting fixtures (e.g. chandeliers); manufacture of table or floor-standing lamps (i.e. lighting fixtures); manufacture of light chains; manufacture of electric fireplace logs; manufacture of flashlights; manufacture of electric insect lamps; manufacture of lanterns (e.g. carbide, electric, gas, gasoline, kerosene); manufacture of spotlights; manufacture of street lighting fixtures (except traffic signals); manufacture of lighting equipment for transport equipment (e.g. for motor vehicles, aircraft, boats); manufacture of solar lighting equipment";;Produkcja sprzętu oświetleniowego
